"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.868 1.13189047843216 9
"2" 0.5 0.806 1.34754237717434 5
"3" 0.5 0.884 1.51059027993847 2
"4" 0.5 0.732 1.01096815678707 13
"5" 0.5 0.898 1.03008350985177 11
"6" 0.5 0.64 0.346522629609054 15
"7" 0.5 0.552 1.29467443041764 6
"8" 0.5 0.598 1.02032200124624 12
"9" 0.5 0.858 0.454549873670173 14
"10" 0.5 0.726 1.26546483784134 7
"11" 0.5 0.793 1.37393339932491 4
"12" 0.5 0.696 1.46219266598985 3
"13" 0.5 0.849 1.51584315642201 1
"14" 0.5 0.47 1.04904447673996 10
"15" 0.5 0.857 1.25508633074398 8
