"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.441 2.93021964557805 8
"2" 0.5 0.195 2.96534204169252 6
"3" 0.5 0.148 2.97123963108648 5
"4" 0.5 0.079 2.98935405413489 4
"5" 0.5 0.044 2.81766273262886 9
"6" 0.5 0.836 3.04850614104014 3
"7" 0.5 0.107 2.74497336378523 11
"8" 0.5 0.056 2.93429088136252 7
"9" 0.5 0.081 2.10400867739785 15
"10" 0.5 0.1 2.7029821426258 13
"11" 0.5 0.088 3.15926058460161 1
"12" 0.5 0.24 2.76187975242816 10
"13" 0.5 0.071 3.10102117654097 2
"14" 0.5 0.097 2.56777505095959 14
"15" 0.5 0.22 2.7367266811073 12
