"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.595 1.91592606019979 9
"2" 0.5 0.932 2.0673639838295 5
"3" 0.5 0.335 2.08574908201603 4
"4" 0.5 0.8 1.86746725774012 10
"5" 0.5 0.582 1.80943412084779 12
"6" 0.5 0.591 1.67201723324185 14
"7" 0.5 0.747 1.83200340949901 11
"8" 0.5 0.71 1.67305044333057 13
"9" 0.5 0.74 1.11770683939076 15
"10" 0.5 0.889 1.97720649803019 6
"11" 0.5 0.886 2.13121737237279 2
"12" 0.5 0.783 1.92940205720514 8
"13" 0.5 0.83 1.97684017518711 7
"14" 0.5 0.806 2.11676645229196 3
"15" 0.5 0.817 2.18900693301965 1
