"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.857 0.897525142463065 9
"2" 0.5 0.135 1.30197531256165 2
"3" 0.5 0.784 1.30829515306642 1
"4" 0.5 0.592 0.890918038629022 10
"5" 0.5 0.118 0.496490273553796 14
"6" 0.5 0.457 0.235987950025337 15
"7" 0.5 0.144 1.22901238434214 4
"8" 0.5 0.094 0.734271022180165 12
"9" 0.5 0.152 0.550137907316917 13
"10" 0.5 0.166 1.08710111419809 6
"11" 0.5 0.367 0.811191203214454 11
"12" 0.5 0.135 1.20728947906654 5
"13" 0.5 0.229 1.02592586495402 8
"14" 0.5 0.114 1.24056990465988 3
"15" 0.5 0.693 1.06980669503896 7
