"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.223 2.72580345144758 10
"2" 0.5 0.731 2.65373716361643 12
"3" 0.5 0.0639999999999999 2.73654848897139 9
"4" 0.5 0.146 2.95501373544988 4
"5" 0.5 0.072 2.90906533319706 5
"6" 0.5 0.858 2.82345317274391 7
"7" 0.5 0.24 2.84307630991075 6
"8" 0.5 0.111 2.65192032795333 13
"9" 0.5 0.266 2.75931949483573 8
"10" 0.5 0.465 2.45762293677161 14
"11" 0.5 0.377 3.00635595568655 3
"12" 0.5 0.972 2.33243371312887 15
"13" 0.5 0.417 3.01437413921823 2
"14" 0.5 0.222 2.69670314358046 11
"15" 0.5 0.166 3.1815712941189 1
