"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.344 -2.04173145396141 6
"2" 0.5 0.341 -2.25889164348493 13
"3" 0.5 0.325 -1.76255158454779 2
"4" 0.5 0.253 -2.04054461829595 5
"5" 0.5 0.126 -1.9057523258959 3
"6" 0.5 0.298 -2.28208256328312 15
"7" 0.5 0.244 -2.15825197461619 10
"8" 0.5 0.384 -2.20400528917551 11
"9" 0.5 0.271 -2.25982016427941 14
"10" 0.5 0.661 -2.07974290209143 8
"11" 0.5 0.587 -1.97614850846837 4
"12" 0.5 0.422 -2.20452315069965 12
"13" 0.5 0.433 -2.10023363861897 9
"14" 0.5 0.372 -2.07963527377039 7
"15" 0.5 0.827 -0.612231565676866 1
