"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.802 1.84092728343198 7
"2" 0.5 0.078 1.80546362011356 10
"3" 0.5 0.367 1.86430077030532 6
"4" 0.5 0.156 2.07505369421865 1
"5" 0.5 0.04 1.82530176049728 9
"6" 0.5 0.635 1.74712727265394 11
"7" 0.5 0.098 1.44550519319952 14
"8" 0.5 0.055 1.5204460954267 13
"9" 0.5 0.0639999999999999 1.32410973342804 15
"10" 0.5 0.092 1.68836809234965 12
"11" 0.5 0.107 1.93480751339309 4
"12" 0.5 0.08 1.88680017634415 5
"13" 0.5 0.091 1.83648519674314 8
"14" 0.5 0.083 2.04426780509552 3
"15" 0.5 0.577 2.05358147659576 2
