"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.268 0.507391407190703 12
"2" 0.5 0.472 0.898862424281238 3
"3" 0.5 0.179 0.682591192792156 7
"4" 0.5 0.507 0.364182299249135 13
"5" 0.5 0.49 0.208742468499705 14
"6" 0.5 0.348 0.765791603786449 6
"7" 0.5 0.756 1.0061845783168 2
"8" 0.5 0.563 0.835703218201576 5
"9" 0.5 0.512 0.0267772604562062 15
"10" 0.5 0.473 0.624627271225229 10
"11" 0.5 0.408 0.561239401991257 11
"12" 0.5 0.484 0.66926628582494 8
"13" 0.5 0.586 1.04079177918012 1
"14" 0.5 0.53 0.663373203513495 9
"15" 0.5 0.253 0.878596407317606 4
