"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.211 -0.488332851876686 4
"2" 0.5 0.12 -1.39849481774687 13
"3" 0.5 0.085 -1.28797839748334 11
"4" 0.5 0.22 -0.231924027137545 2
"5" 0.5 0.193 -1.39080378052618 12
"6" 0.5 0.452 -1.26370061734018 10
"7" 0.5 0.181 -0.690989831042187 5
"8" 0.5 0.287 0.0478482711997397 1
"9" 0.5 0.105 -1.81038320469366 15
"10" 0.5 0.236 -0.954115443229271 8
"11" 0.5 0.123 -0.891667889545725 6
"12" 0.5 0.204 -1.1987222792119 9
"13" 0.5 0.358 -0.241717946184572 3
"14" 0.5 0.122 -1.60927236522762 14
"15" 0.5 0.167 -0.893136837883818 7
