"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.643 1.61503625871779 12
"2" 0.5 0.275 1.84940156059495 2
"3" 0.5 0.468 1.65734587589918 11
"4" 0.5 0.146 1.78724490959598 3
"5" 0.5 0.277 1.65981805789904 10
"6" 0.5 0.65 1.72577374515313 5
"7" 0.5 0.218 1.70236203675766 7
"8" 0.5 0.13 1.54742496761485 13
"9" 0.5 0.303 1.07351321572464 15
"10" 0.5 0.187 1.69070512754463 8
"11" 0.5 0.327 1.74423964776143 4
"12" 0.5 0.303 1.66348809939683 9
"13" 0.5 0.142 1.95839098528249 1
"14" 0.5 0.253 1.70308873820566 6
"15" 0.5 0.32 1.5006158415819 14
