"likelihood" "bart" "expr" "rank_size"
"1" 5.00558098007839e-05 0.204 1.36241997253489 6
"2" 1.70707353092851e-20 0.354 1.4043081599814 5
"3" 2.52697961162219e-33 0.627 1.3212977455506 7
"4" 7.39860454176606e-19 0.133 0.486712916800333 15
"5" 2.3925911406085e-38 0.388 0.75372581537219 14
"6" 3.03349293019177e-40 0.432 1.30405304791742 8
"7" 8.44541765974536e-07 0.953 2.50290115653649 1
"8" 3.22157345271039e-21 0.895 1.63948533357584 3
"9" 2.07674535778246e-26 0.271 0.956417546720502 13
"10" 6.15390907900388e-30 0.17 1.2370570755753 9
"11" 6.26560562441415e-21 0.112 1.00503958820435 12
"12" 1.14207594474701e-20 0.431 1.0371512957392 11
"13" 2.36528359715968e-14 0.272 1.09221319654887 10
"14" 0.084811691525218 0.749 1.61167034549126 4
"15" 0.0321364643801348 0.221 2.10584686284981 2
