"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.854 0.42599513476276 2
"2" 0.5 0.301 -0.654622908668728 9
"3" 0.5 0.856 0.0145101162697067 4
"4" 0.5 0.741 -0.159783325251875 5
"5" 0.5 0.357 -1.06781484133157 12
"6" 0.5 0.901 -1.15435832497842 13
"7" 0.5 0.124 -0.917894924111372 11
"8" 0.5 0.195 -1.60947440692099 14
"9" 0.5 0.421 -0.846235341684635 10
"10" 0.5 0.201 -0.604050358568874 8
"11" 0.5 0.751 -0.547232703645964 7
"12" 0.5 0.262 -1.94703177199549 15
"13" 0.5 0.437 0.232293840959088 3
"14" 0.5 0.14 -0.543554979813772 6
"15" 0.5 0.723 1.0848621636141 1
