"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.197 2.13761451917873 12
"2" 0.5 0.295 2.41149917461213 5
"3" 0.5 0.873 2.36110527923457 8
"4" 0.5 0.152 2.43524176508159 3
"5" 0.5 0.59 2.54784934274607 1
"6" 0.5 0.531 2.05024072738268 13
"7" 0.5 0.815 2.40579249559275 6
"8" 0.5 0.738 2.22617019465751 10
"9" 0.5 0.175 1.49002072510344 15
"10" 0.5 0.203 2.42011378501627 4
"11" 0.5 0.151 2.3612080515192 7
"12" 0.5 0.226 2.18379941963024 11
"13" 0.5 0.151 2.46490642051136 2
"14" 0.5 0.38 2.26096996372882 9
"15" 0.5 0.285 1.88371884985417 14
