"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.908 1.35522592407113 4
"2" 0.5 0.358 1.20211004551306 7
"3" 0.5 0.747 1.49952409496829 3
"4" 0.5 0.523 1.54515569748149 1
"5" 0.5 0.294 1.24235518542126 6
"6" 0.5 0.474 0.977696457293414 13
"7" 0.5 0.243 1.08230842523236 12
"8" 0.5 0.372 0.897142228645779 14
"9" 0.5 0.32 0.679018266090524 15
"10" 0.5 0.253 1.17625139804799 9
"11" 0.5 0.392 1.52415392292268 2
"12" 0.5 0.211 1.14698541100662 10
"13" 0.5 0.363 1.20009329577932 8
"14" 0.5 0.146 1.13106697081551 11
"15" 0.5 0.807 1.33257458222668 5
