"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.416 -1.17187122051195 2
"2" 0.5 0.411 -1.7939035584617 9
"3" 0.5 0.32 -1.18025112820204 3
"4" 0.5 0.41 -1.53620630890531 8
"5" 0.5 0.294 -1.4213309630279 7
"6" 0.5 0.206 -1.94350074596921 13
"7" 0.5 0.23 -1.8731071793979 12
"8" 0.5 0.217 -1.97798791365256 15
"9" 0.5 0.345 -1.97695613403094 14
"10" 0.5 0.367 -1.30182107766935 6
"11" 0.5 0.53 -0.648058649226482 1
"12" 0.5 0.458 -1.81443365646508 10
"13" 0.5 0.371 -1.19592293934471 4
"14" 0.5 0.172 -1.85275003381165 11
"15" 0.5 0.271 -1.28110793743619 5
