"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.786 1.98110013926204 3
"2" 0.5 0.65 1.76973012710385 9
"3" 0.5 0.821 1.89353028718578 5
"4" 0.5 0.216 1.79614778194515 6
"5" 0.5 0.568 1.7957624231058 7
"6" 0.5 0.928 1.07482301197007 15
"7" 0.5 0.126 1.76827193707096 10
"8" 0.5 0.503 1.79298877084011 8
"9" 0.5 0.593 1.63124821413968 13
"10" 0.5 0.363 1.94508330015671 4
"11" 0.5 0.619 2.01960352744423 2
"12" 0.5 0.45 1.5994459992426 14
"13" 0.5 0.111 1.66281515545261 12
"14" 0.5 0.556 1.71689922853847 11
"15" 0.5 0.7 2.1616154424915 1
