"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.712 2.24650489985355 6
"2" 0.5 0.0570000000000001 2.50737096622517 2
"3" 0.5 0.284 2.26549698338037 5
"4" 0.5 0.056 2.13603144508148 10
"5" 0.5 0.197 2.01088183459908 13
"6" 0.5 0.865 2.1130173527383 11
"7" 0.5 0.045 2.09193964472315 12
"8" 0.5 0.088 1.85035761354235 14
"9" 0.5 0.055 1.13734067891464 15
"10" 0.5 0.042 2.19323422770347 8
"11" 0.5 0.126 2.34814114641612 4
"12" 0.5 0.037 2.55768331356706 1
"13" 0.5 0.049 2.1611371026351 9
"14" 0.5 0.0590000000000001 2.49350210739788 3
"15" 0.5 0.401 2.2023850028584 7
