"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.441 2.12553400393883 2
"2" 0.5 0.652 2.23580843893024 1
"3" 0.5 0.319 1.93648758644076 6
"4" 0.5 0.577 1.67643472334545 12
"5" 0.5 0.768 1.44767838372811 13
"6" 0.5 0.412 1.06201357180766 15
"7" 0.5 0.821 1.83283940454936 9
"8" 0.5 0.818 2.01931585662683 4
"9" 0.5 0.753 1.34518577224843 14
"10" 0.5 0.573 1.90798274422429 7
"11" 0.5 0.68 1.77997879417218 10
"12" 0.5 0.592 2.02821448638997 3
"13" 0.5 0.671 1.71528512654772 11
"14" 0.5 0.71 1.86753558788368 8
"15" 0.5 0.396 1.95541335122156 5
