"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.785 1.79153297912696 11
"2" 0.5 0.531 2.42286831126271 1
"3" 0.5 0.832 2.32198506388657 3
"4" 0.5 0.405 2.03450134530291 8
"5" 0.5 0.401 2.012847424672 9
"6" 0.5 0.835 1.34583892660754 14
"7" 0.5 0.121 2.15162941665204 6
"8" 0.5 0.487 1.62769528185058 13
"9" 0.5 0.42 1.33754098127821 15
"10" 0.5 0.322 2.23749375307297 4
"11" 0.5 0.633 2.3555177155097 2
"12" 0.5 0.259 1.93319310027366 10
"13" 0.5 0.192 2.19208615411145 5
"14" 0.5 0.257 2.06488425601957 7
"15" 0.5 0.69 1.75873496765093 12
