"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.78 1.89304517291725 3
"2" 0.5 0.794 1.36933698599758 14
"3" 0.5 0.923 1.48987211816311 11
"4" 0.5 0.932 1.94986369078897 1
"5" 0.5 0.847 1.46742689805246 12
"6" 0.5 0.464 1.46690523560172 13
"7" 0.5 0.517 1.60102734078435 9
"8" 0.5 0.853 1.90448146305618 2
"9" 0.5 0.845 1.62720676885496 7
"10" 0.5 0.79 1.81260997468774 5
"11" 0.5 0.657 1.86407931890995 4
"12" 0.5 0.497 1.28276246994866 15
"13" 0.5 0.898 1.61310816159325 8
"14" 0.5 0.914 1.51596046585484 10
"15" 0.5 0.867 1.70542494720092 6
