"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.813 -1.31664938972783 11
"2" 0.5 0.199 -0.877793160418057 5
"3" 0.5 0.673 -0.347711080755837 1
"4" 0.5 0.165 -1.63617838311218 14
"5" 0.5 0.185 -1.30635411047565 10
"6" 0.5 0.781 -1.87461777388386 15
"7" 0.5 0.1 -1.15989137312044 8
"8" 0.5 0.101 -1.42627954779721 12
"9" 0.5 0.144 -1.50214659412757 13
"10" 0.5 0.148 -1.03924662386868 7
"11" 0.5 0.282 -0.608471865147381 3
"12" 0.5 0.134 -0.920224742998809 6
"13" 0.5 0.123 -0.789647494298101 4
"14" 0.5 0.115 -1.16030050723139 9
"15" 0.5 0.628 -0.549225591866619 2
