"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.948 3.30197249575423 6
"2" 0.5 0.476 3.06070636934688 8
"3" 0.5 0.921 3.56872786353988 2
"4" 0.5 0.555 3.80081256042837 1
"5" 0.5 0.424 3.45933685689382 4
"6" 0.5 0.795 2.15963678099435 14
"7" 0.5 0.174 2.58906074428703 12
"8" 0.5 0.235 2.55910060552988 13
"9" 0.5 0.396 2.02240355648187 15
"10" 0.5 0.26 2.99335117919962 9
"11" 0.5 0.546 3.47735425591157 3
"12" 0.5 0.345 2.8793692172513 10
"13" 0.5 0.369 3.41936620588464 5
"14" 0.5 0.113 2.66684860272988 11
"15" 0.5 0.918 3.1109517055337 7
