"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.903 1.87587854409666 11
"2" 0.5 0.873 2.10607364009361 7
"3" 0.5 0.959 2.25081367139723 5
"4" 0.5 0.624 2.47642363949396 1
"5" 0.5 0.861 2.33178353377199 3
"6" 0.5 0.858 1.40323967289801 15
"7" 0.5 0.446 1.96926427757824 8
"8" 0.5 0.752 1.91635331733577 10
"9" 0.5 0.9 1.58038966450845 14
"10" 0.5 0.634 1.94212548184518 9
"11" 0.5 0.843 2.28347036097127 4
"12" 0.5 0.739 1.75037104510954 13
"13" 0.5 0.45 2.39149106580462 2
"14" 0.5 0.68 1.87056837167489 12
"15" 0.5 0.828 2.15589942643324 6
