"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.258 3.11787125379716 3
"2" 0.5 0.723 2.57573313453332 14
"3" 0.5 0.356 2.85133386526836 7
"4" 0.5 0.847 2.84181686068212 8
"5" 0.5 0.85 2.67402873681363 12
"6" 0.5 0.111 3.40541012518547 1
"7" 0.5 0.962 2.5981402480514 13
"8" 0.5 0.823 2.89994231376565 5
"9" 0.5 0.77 2.12575218108921 15
"10" 0.5 0.877 2.82366677214374 9
"11" 0.5 0.197 2.7733818858622 10
"12" 0.5 0.915 3.24504459258171 2
"13" 0.5 0.861 2.7459696043769 11
"14" 0.5 0.949 2.85440859661795 6
"15" 0.5 0.419 2.98763414398333 4
