"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.316 0.080102266956406 2
"2" 0.5 0.265 -1.00784119669433 11
"3" 0.5 0.564 -0.49457829648966 7
"4" 0.5 0.624 -1.28422207022809 13
"5" 0.5 0.515 -0.17005112009141 3
"6" 0.5 0.717 -1.65314491597539 15
"7" 0.5 0.245 -0.204007908638126 4
"8" 0.5 0.349 -1.21820614755625 12
"9" 0.5 0.178 -0.876337403242743 9
"10" 0.5 0.428 -0.451657010933665 6
"11" 0.5 0.799 0.724330744926608 1
"12" 0.5 0.108 -1.28964388980184 14
"13" 0.5 0.239 -0.541197061965413 8
"14" 0.5 0.467 -0.884803899788282 10
"15" 0.5 0.744 -0.255790115016183 5
