"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.839 3.21742624194749 5
"2" 0.5 0.458 2.17878605527291 14
"3" 0.5 0.635 3.12079168341052 6
"4" 0.5 0.767 2.95559904475098 9
"5" 0.5 0.357 3.76305537443435 1
"6" 0.5 0.105 2.4792076216666 13
"7" 0.5 0.343 3.52905482720449 3
"8" 0.5 0.369 3.35569539692972 4
"9" 0.5 0.524 0.799897302765706 15
"10" 0.5 0.427 2.90399241436548 11
"11" 0.5 0.373 3.74018084375126 2
"12" 0.5 0.413 2.94332194872425 10
"13" 0.5 0.476 3.03103695199666 7
"14" 0.5 0.244 2.98731417981604 8
"15" 0.5 0.598 2.84480250544174 12
