"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.245 1.33935767259132 11
"2" 0.5 0.767 2.30487080951006 2
"3" 0.5 0.303 1.35433311783939 10
"4" 0.5 0.439 1.39544737075531 8
"5" 0.5 0.625 1.05511453352766 13
"6" 0.5 0.728 1.46115231653873 6
"7" 0.5 0.606 1.41898949662624 7
"8" 0.5 0.648 1.02944375124793 14
"9" 0.5 0.807 0.979711537466798 15
"10" 0.5 0.638 1.83496423770459 4
"11" 0.5 0.77 1.36735094960267 9
"12" 0.5 0.674 2.54585303833727 1
"13" 0.5 0.483 1.16368525334637 12
"14" 0.5 0.628 2.15158587721733 3
"15" 0.5 0.341 1.73316472142833 5
