"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.627 0.366686636617968 4
"2" 0.5 0.678 0.497013524757118 2
"3" 0.5 0.753 0.317001234502458 6
"4" 0.5 0.372 -0.217554522827898 11
"5" 0.5 0.513 -0.231017423736223 12
"6" 0.5 0.872 -0.365187095310204 14
"7" 0.5 0.167 -0.249759700563629 13
"8" 0.5 0.533 0.0793471966797365 9
"9" 0.5 0.666 -0.632456596314535 15
"10" 0.5 0.413 0.247745432883963 8
"11" 0.5 0.778 -0.0803224007202348 10
"12" 0.5 0.488 0.364702361103599 5
"13" 0.5 0.206 0.270194215856803 7
"14" 0.5 0.364 0.6785055883542 1
"15" 0.5 0.621 0.449912802860098 3
