"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.736 0.463933688572859 9
"2" 0.5 0.643 0.886151742276369 1
"3" 0.5 0.798 0.614271502754573 6
"4" 0.5 0.765 0.340394015758148 13
"5" 0.5 0.659 0.0203679701725905 15
"6" 0.5 0.227 0.418114419539135 11
"7" 0.5 0.335 0.879079530644378 2
"8" 0.5 0.598 0.367967821610953 12
"9" 0.5 0.601 0.320296224466058 14
"10" 0.5 0.701 0.564593700970485 7
"11" 0.5 0.762 0.549914706698876 8
"12" 0.5 0.543 0.721416933824191 3
"13" 0.5 0.501 0.66956747624178 5
"14" 0.5 0.404 0.695572920724128 4
"15" 0.5 0.683 0.428479875513743 10
