"likelihood" "bart" "expr" "rank_size"
"1" 0.5 0.404 1.54889138708908 3
"2" 0.5 0.74 1.29974929330677 6
"3" 0.5 0.331 1.03546273305605 10
"4" 0.5 0.486 1.06088348050859 9
"5" 0.5 0.665 -0.308496278993028 14
"6" 0.5 0.368 1.32049213565458 5
"7" 0.5 0.73 1.95655274865072 1
"8" 0.5 0.602 1.74373153516235 2
"9" 0.5 0.857 -0.482316593716735 15
"10" 0.5 0.635 1.11518647341776 8
"11" 0.5 0.568 0.470849732224821 13
"12" 0.5 0.8 1.24107744605308 7
"13" 0.5 0.566 1.02932775114391 11
"14" 0.5 0.716 0.952241749658021 12
"15" 0.5 0.373 1.48313556235564 4
